Company Name,CityU URL,Company Website,Email
3D printing low-carbon ecological concrete,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/3d-printing-low-carbon-ecological-concrete,No Info Found,No Info Found
5th Immersiv,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/5th-immersiv,https://brideunionhk.com/,martin@bride-union.com
6J Biotechnology (Hong Kong) Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/6j-biotechnology,http://www.6jbiotech.com/,qzhang@6jbiotech.com
A-TCMS (Autonomous Tire Condition Monitoring System),https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/a-tcms,No Info Found,No Info Found
A.I. Ambassador (Virtual Receptionist) kiosk solution,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ai-ambassador,https://www.innocorn.com/,info@innocorn.com
A3-ml Ltd,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/a3-ml,No Info Found,director@a3-ml.com
ABCDYi,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/abcdyi,No Info Found,hello@abcdyi.net
Accessible Vision,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/accessible-vision,No Info Found,No Info Found
Accucision,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/accucision,No Info Found,accucisionhk@gmail.com
Aeroponics King,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/aeroponics-king,No Info Found,aeroponicsking@gmail.com
AESIR Institute Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/aesir,https://www.aesir.hk/seriousgame.html,aesirhkservice@gmail.com
Aestrio,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/aestrio,https://www.aestrio.com,No Info Found
AFJ – TutorGPT,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/afj-tutorgpt,No Info Found,No Info Found
Aflame E-SOC,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/aflame-e-soc,No Info Found,aflamehk@gmail.com
AI Doodle,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ai-doodle,No Info Found,No Info Found
AI Guided Limited,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ai-guided-limited,No Info Found,No Info Found
AI Mnemonic,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ai-mnemonic,https://www.aimnemonic.com/,admin@aimnemonic.com
AI Motion Logistics Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/ai-motion-logistics-limited,No Info Found,info_aiml@yeah.net
AI Pet Tailor,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ai-pet-tailor,https://www.youtube.com/watch?v=hOE_1hR-gOc,petpet.tailor@gmail.com
AI+Web3 – Demand Abstraction Crypto Wallet Based on AI,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/aiweb3-demand-abstraction-crypto-wallet-based-ai,No Info Found,demandabstraction@gmail.com
AI-based strategy to predict vascular biological age and disease risks,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ai-based-strategy-to-predict-vascular-biological-age-and-disease-risks,No Info Found,Andy.ckcheng@cityu.edu.hk
AI-Driven Insurtech Platform,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ai-driven-insurtech-platform,https://wp.insurtech.hk/,tim.lo@mln.hk
AI-Learn – AI-sen-sei,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ai-learn-ai-sen-sei,No Info Found,No Info Found
AI-SMS,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ai-sms,No Info Found,No Info Found
AI-Tech Robot Arm,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ai-tech-robot-arm,No Info Found,leolth14@gmail.com
AI2Farm,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ai2farm,No Info Found,hello.ai2farm@gmail.com
AIMSec: AI-powered Mobile Security,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/aimsec,No Info Found,cs.ylchen@my.cityu.edu.hk
AiR World Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/air-world-limited,https://www.air-world.io/,gm@air-world.io
Airgie – Next Generation Air Monitoring,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/airgie-next-generation-air-monitoring,No Info Found,airgie.ai@gmail.com
AIRmotion,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/airmotion,No Info Found,wes.chu.stork@gmail.com
AirTech IoT Limited,https://www.cityu.edu.hk/hktech300/start-ups/airtech-iot-limited,https://www.airtech-iot.com/,cs@airtech-iot.com
AISG Group Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/aisg-group,No Info Found,chan@aisggroup.com
ALAM,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/alam,No Info Found,Contact@alam.eco
Albacastor Technology Limited,https://www.cityu.edu.hk/hktech300/start-ups/albacastor-technology-limited,https://www.albacastor.com/,info@albacastor.com
Alcarbo Technologies Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/alcarbo-technologies,https://www.alcarbotechnologies.com.hk/,alcarbotechnologies@gmail.com
AlephWill Studio Limited – Rehab-Admin System,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/alephwill-studio-limitted,No Info Found,hello@alephwill.com
Alfred24,https://www.cityu.edu.hk/hktech300/start-ups/alfred24,https://www.alfred24.com.hk/,christian.secci@alfred24.com
AlgaeBase,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/algaebase,No Info Found,techsealtd@gmail.com
Algo.852,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/algo852,No Info Found,finengine.algo@gmail.com
AlgoGraph,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/algograph,No Info Found,kakitam0105@gmail.com
Alpha AI Technology Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/alphaaiauto,https://alphaaiauto.com/,desmond@alphaaiauto.com
Alpha Eco,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/alpha-eco,No Info Found,tktsang34-c@my.cityu.edu.hk
Alphabag,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/alphabag,https://www.alphabag.com,enquiry@alphabag.com
AlphaESG,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/alphaesg,No Info Found,No Info Found
Alternative Treatment for Alzheimer’s Disease by Reducing Beta-amyloid Accumulation: a Small Molecule Approach,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/small-molecule-approach,No Info Found,yijunxu5-c@my.cityu.edu.hk
AnalyticX,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/analyticx,https://analyticx.online,analyticx@gmail.com
Angel Pet – PETS & PAW,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/angel-pet-pets-paw,No Info Found,No Info Found
animo,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/animo,No Info Found,fc@animo.com.hk
AniTech Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/anitech,http://www.anitech.hk/,gkumar@anitech.hk
ANRim,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/anrim,No Info Found,No Info Found
Anti-Allergy Food Club,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/anti-allergy-food-club,No Info Found,No Info Found
